benchmark,name,M,S,gemm_M,K,gemm_N,shape,avg_ms,status,note,tflops,tbps,fpb
dsa_indexer,index_weights_proj,1024,65536,1024,6144,32,"[1024,6144]×[6144,32]",0.2576149940490723,OK,,1.5630036810796029,0.025439513038404995,61.44
dsa_indexer,index_score,1024,65536,32768,128,65536,"[32768,128]×[128,65536]",2.3459423065185545,OK,,234.34327961110574,1.836170563969464,127.62609542356378
dsa_indexer,index_k_proj,1024,131072,131072,6144,128,"[131072,6144]×[6144,128]",2.085162353515625,OK,,98.86924625337339,0.40267714913629526,245.52981579768968
dsa_indexer,index_q_upproj,1024,131072,1024,2048,4096,"[1024,2048]×[2048,4096]",0.3549985408782959,OK,,48.394196611331346,0.05316745233178493,910.2222222222222
dsa_indexer,index_weights_proj,1024,131072,1024,6144,32,"[1024,6144]×[6144,32]",0.32890355587005615,OK,,1.2242287345749492,0.01992559789347248,61.44
dsa_indexer,index_score,1024,131072,32768,128,131072,"[32768,128]×[128,131072]",4.14752311706543,OK,,265.10078346566445,2.076156266994511,127.68826108134438
dsa_indexer,index_k_proj,1024,262144,262144,6144,128,"[262144,6144]×[6144,128]",3.9413867950439454,OK,,104.61212813075423,0.4258673708732728,245.64485397469937
dsa_indexer,index_q_upproj,1024,262144,1024,2048,4096,"[1024,2048]×[2048,4096]",0.3485990047454834,OK,,49.282611109412784,0.054143493650477915,910.2222222222222
dsa_indexer,index_weights_proj,1024,262144,1024,6144,32,"[1024,6144]×[6144,32]",0.3264458417892456,OK,,1.2334455902181594,0.020075611819957023,61.44
dsa_indexer,index_score,1024,262144,32768,128,262144,"[32768,128]×[128,262144]",7.3921257019042965,OK,,297.4818535601344,2.32918359539862,127.71936662606578
