phase,timestamp,name,category,backend,M,S,shape,avg_ms,status,error
decode,2026-07-01T10:12:29.897650,absorbed_W_UV,Attention,torch.bmm,32,2048,"bmm [64,32,512]×[256]",0.009073500335216523,OK,
decode,2026-07-01T10:12:29.897650,o_proj,Attention,aiter,32,2048,"[32,16384]×[6144]",0.04916515052318573,OK,
decode,2026-07-01T10:12:29.897650,mla_decode_attn,MLA,pytorch_mla_graph_safe,32,2048,pytorch_mla batch=32 s_kv=2048,1.4873080253601074,OK,
decode,2026-07-01T10:12:29.897650,index_k_proj,DSA Indexer,aiter,32,2048,"[32,6144]×[128]",0.018717850744724273,OK,
decode,2026-07-01T10:12:29.897650,index_q_upproj,DSA Indexer,aiter,32,2048,"[32,2048]×[4096]",0.008678899705410003,OK,
decode,2026-07-01T10:12:29.897650,index_weights_proj,DSA Indexer,torch.mm,32,2048,"[32,6144]×[32]",0.006545750051736831,OK,
decode,2026-07-01T10:12:29.897650,moe_gate_proj,MoE,aiter,32,2048,"[256,6144]×[2048]",0.05470144748687744,OK,
decode,2026-07-01T10:12:29.897650,moe_up_proj,MoE,aiter,32,2048,"[256,6144]×[2048]",0.0550539493560791,OK,
decode,2026-07-01T10:12:29.897650,moe_down_proj,MoE,aiter,32,2048,"[256,2048]×[6144]",0.02503724992275238,OK,
decode,2026-07-01T10:12:29.897650,fused_qkv_a_proj,Attention,aiter,32,8192,"[32,6144]×[2624]",0.021888600289821626,OK,
decode,2026-07-01T10:12:29.897650,q_b_proj,Attention,aiter,32,8192,"[32,2048]×[16384]",0.015019850432872772,OK,
decode,2026-07-01T10:12:29.897650,absorbed_W_UK,Attention,torch.bmm,32,8192,"bmm [64,32,192]×[512]",0.006319399923086166,OK,
decode,2026-07-01T10:12:29.897650,absorbed_W_UV,Attention,torch.bmm,32,8192,"bmm [64,32,512]×[256]",0.009013400226831437,OK,
decode,2026-07-01T10:12:29.897650,o_proj,Attention,aiter,32,8192,"[32,16384]×[6144]",0.04950970113277435,OK,
decode,2026-07-01T10:12:29.897650,mla_decode_attn,MLA,pytorch_mla_graph_safe,32,8192,pytorch_mla batch=32 s_kv=8192,1.2281943321228028,OK,
decode,2026-07-01T10:12:29.897650,index_k_proj,DSA Indexer,aiter,32,8192,"[32,6144]×[128]",0.018347300589084625,OK,
decode,2026-07-01T10:12:29.897650,index_q_upproj,DSA Indexer,aiter,32,8192,"[32,2048]×[4096]",0.008708950132131577,OK,
decode,2026-07-01T10:12:29.897650,index_weights_proj,DSA Indexer,torch.mm,32,8192,"[32,6144]×[32]",0.00647365003824234,OK,
decode,2026-07-01T10:12:29.897650,moe_gate_proj,MoE,aiter,32,8192,"[256,6144]×[2048]",0.053707951307296754,OK,
decode,2026-07-01T10:12:29.897650,moe_up_proj,MoE,aiter,32,8192,"[256,6144]×[2048]",0.05445910096168518,OK,
decode,2026-07-01T10:12:29.897650,moe_down_proj,MoE,aiter,32,8192,"[256,2048]×[6144]",0.02476685047149658,OK,
